"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Neutral",0.564,0.36199525,0.56387436,0.074130446,338985020,"afpfr",1574143521279418372,"Elections en Italie: le parti post-fasciste de Giorgia Meloni en tête (sorties des urnes) #AFP https://t.co/8Vad1I338S","2022-09-25 23:07:16",2861,603,487,1185,586
"Positive",0.484,0.20610382,0.30958173,0.4843145,338985020,"afpfr",1596987232211959809,"Dans l'Essonne, près de Paris, un refuge a ouvert pour protéger les femmes victimes de violences conjugales. A la fois accueil de jour et hébergement d'urgence, l'établissement offre des permanences d'aide psychologique et juridique #AFP #AFPTV

🎥 Chloe Rouveyrolles-Bazire ⤵️ https://t.co/Gwq2pb28HJ","2022-11-27 23:00:01",69,20,4,44,1
"Positive",0.416,0.2903713,0.29332,0.4163087,338985020,"afpfr",1596972132419846146,"🏃‍♂️ Parcourir la France et réaliser 100 marathons en 100 jours : c'est le défi sportif que s'est lancé Nicolas Vandenelsken. Lors d'une étape à Paris, il a dénoncé les excès du sport business, néfastes pour l'environnement #AFP #AFPTV

🎥 Guillaume Bonnet ⤵️ https://t.co/zThRzMDH7j","2022-11-27 22:00:01",58,16,4,37,1
"Positive",0.848,0.0479074,0.10418815,0.84790444,338985020,"afpfr",1596971883324268545,"#Qatar2022 : 
🇩🇪 L'Allemagne a maintenu ses chances de qualification pour les huitièmes de finale du Mondial-2022 en arrachant le match nul contre 🇪🇸 l'Espagne (1-1) #AFP https://t.co/J1cGzAPZH9","2022-11-27 21:59:01",49,5,0,44,0
"Negative",0.765,0.76522523,0.17223212,0.06254256,338985020,"afpfr",1596957030522056705,"A Bangui, la capitale de la Centrafrique, plusieurs stations d'essence ne sont plus approvisionnées depuis parfois sept mois et les vendeurs de carburant à la sauvette prolifèrent #AFP

➡️ https://t.co/qFdAVFf6eB
🖋️ @AnnelaNiamolo https://t.co/xC7ogtNq8S","2022-11-27 21:00:00",20,3,2,15,0
"Negative",0.925,0.9252921,0.05465019,0.020057796,338985020,"afpfr",1596941928683012097,"🎣 ""Ici, c'est la voie d'entrée des poissons. Ils n'auront même pas le temps de déposer leurs œufs""

Surpêche, pollution, circulation : le Bosphore perd ses poissons #AFP

➡️ https://t.co/1gWoig30dO
🖋️ @achaon https://t.co/rCKdwCPhuc","2022-11-27 20:00:00",40,16,0,24,0
"Positive",0.599,0.119986385,0.2814677,0.5985459,338985020,"afpfr",1596928325296848896,"#Qatar2022 : 
La 🇭🇷 Croatie, vice-championne du monde en titre accrochée par le Maroc (0-0) lors de la première journée, s'est relancée en battant le 🇨🇦 Canada (4-1), deuxième équipe éliminée du Mondial-2022 après le Qatar #AFP https://t.co/oxJZJP2tS4","2022-11-27 19:05:56",43,5,0,37,1
"Negative",0.725,0.7248803,0.14053504,0.13458474,338985020,"afpfr",1596926835123781632,"Ultra-majoritaires chez les paramédicaux, plus nombreuses que les hommes sur les bancs de la fac de médecine, les femmes peinent à atteindre les hautes responsabilités dans le système hospitalier en raison d'obstacles persistants #AFP

➡️ https://t.co/KlwwzxzIVP
🖋️ @BFAuchet https://t.co/Vx1CjjpNBK","2022-11-27 19:00:01",62,18,8,34,2
"Negative",0.838,0.8375281,0.122724146,0.039747786,338985020,"afpfr",1596921369056481281,"Un jeune de 16 ans s'est rendu dimanche après-midi au commissariat d'Argenteuil (Val-d'Oise) où il s'est présenté comme l'auteur du récent meurtre du mineur de 14 ans dans les Yvelines, a indiqué la procureure de Versailles à l'AFP #AFP","2022-11-27 18:38:18",126,32,0,89,5
"Negative",0.619,0.61881703,0.1868954,0.19428757,338985020,"afpfr",1596912107647279104,"[A LA UNE A 18H]
Des centaines de personnes sont descendues dans les rues de plusieurs villes de Chine pour protester contre les confinements, une rare démonstration d'hostilité envers le régime de Xi Jinping et sa politique de ""zéro Covid"" pratiquée depuis près de 3 ans #AFP 1/5 https://t.co/Qc9eIcTmxJ","2022-11-27 18:01:30",386,93,16,269,8
