"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Neutral",0.667,0.18678641,0.66681635,0.14639723,938522598585131008,"AuroreLalucq",1596103219276443648,"https://t.co/1ENIXEJVT0 https://t.co/ODVce0p5kh","2022-11-25 12:27:16",36,6,5,25,0
"Positive",0.679,0.012395251,0.30892482,0.67867994,938522598585131008,"AuroreLalucq",1595801888632381440,"Ce sera demain :-) aux Journées de l’économie autrement. ⁦@AlterEco_⁩ https://t.co/r214lEJjTW","2022-11-24 16:29:53",14,1,4,8,1
"Positive",0.904,0.009084351,0.087200224,0.9037154,938522598585131008,"AuroreLalucq",1342420512954314757,"Une parenthèse dansante et un joyeux Noël 🎄 

 https://t.co/z0YrSyaOH9","2020-12-25 11:42:45",269,28,10,227,4
"Positive",0.504,0.18870145,0.3073369,0.5039616,938522598585131008,"AuroreLalucq",1595760455787552769,"A well-designed net wealth tax can raise revenue and tackle inequality, argues the FT's Martin Sandbu :-) 

Could not agree more! ⁦@TheProgressives⁩ ⁦@paultang⁩ ⁦@Evelyn_Regner⁩  https://t.co/DDPQ7MeH6o","2022-11-24 13:45:15",21,7,1,13,0
"Positive",0.725,0.04839831,0.22613303,0.72546864,938522598585131008,"AuroreLalucq",1595738460576710663,"Et c’est gagné! Le parlement demande la sortie du traité sur la Charte de l’énergie! https://t.co/oAcJLXKAEr","2022-11-24 12:17:51",738,83,20,625,10
"Positive",0.649,0.10980159,0.24113987,0.6490586,938522598585131008,"AuroreLalucq",1595718044650991621,"🚨Vote important à midi au Parlement européen! 

Nous demandons à la Commission européenne de préparer immédiatement la sortie du traité - climaticide - sur la Charte de l’énergie. 

Espérons que les députés votent en faveur! Vote serré possible. 

⁦@placepublique_⁩ https://t.co/bGOgr2OpxO","2022-11-24 10:56:43",122,24,7,90,1
"Negative",0.352,0.35235915,0.32770932,0.31993154,938522598585131008,"AuroreLalucq",1595324614686670848,"« Nous avons créé quelque chose qui n’existe nulle part ailleurs : une monnaie sans réel budget.

Avoir un budget n’est pas une question de droite ou de gauche mais une question de bon sens.

Même le FMI estime qu’il s’agit d’une priorité pour l’Europe » https://t.co/DQiDAeXgES","2022-11-23 08:53:22",191,31,40,114,6
"Negative",0.678,0.6778341,0.16508238,0.15708354,938522598585131008,"AuroreLalucq",1595140730376572929,"« Le secteur public dépend des ultra-riches. Les ultra-riches vont ils être assez sympa pour sauver la planète? 

Mais les super-riches ne le font pas car ils ne sont pas super, ils sont juste riches »

Quand une héritière demande à être taxée! 

 https://t.co/431ZqIdMDc","2022-11-22 20:42:41",305,76,22,206,1
"Negative",0.879,0.8787115,0.048119556,0.07316888,938522598585131008,"AuroreLalucq",1595083132549857283,"Accuser celle qui depuis plus d’un an lance l’alerte et avait prévu la crise , il fallait oser! 

Les cryptos trolls… l’ont fait!

Habile manœuvre d’enfumage en tout cas.","2022-11-22 16:53:48",179,14,0,100,65
"Positive",0.941,0.022772552,0.036716368,0.94051105,938522598585131008,"AuroreLalucq",1533557087955034114,"Ce doux parfum du retour du clivage gauche / droite fait sacrément du bien. 
Bravo aux candidates et aux candidats ✌️. #legislatives2022","2022-06-05 23:11:16",535,72,7,454,2
"Neutral",0.521,0.26350462,0.5208395,0.21565586,938522598585131008,"AuroreLalucq",1523544368094711808,"https://t.co/cLlRFhzshF","2022-05-09 08:04:18",88,14,5,68,1
"Positive",0.908,0.020195803,0.07199579,0.9078084,938522598585131008,"AuroreLalucq",1523024029447495680,"Un bonheur communicatif #Nupes https://t.co/bMk4NA8g6u","2022-05-07 21:36:39",148,6,9,133,0
"Neutral",0.819,0.032681726,0.8188094,0.14850885,938522598585131008,"AuroreLalucq",1485646776715649035,"Au menu : la recherche et l’université . https://t.co/55ph8pw5zb","2022-01-24 17:12:48",84,9,2,73,0
"Positive",0.494,0.037152328,0.46840265,0.49444503,938522598585131008,"AuroreLalucq",1462033940995321857,"Un debat constructif avec ⁦@alaingrandjean⁩ sur le #GreenNewDeal. 

Via ⁦@AlterEco_⁩  https://t.co/9WZ3yI7DY8","2021-11-20 13:23:49",16,1,0,14,1
"Neutral",0.521,0.26350462,0.5208395,0.21565586,938522598585131008,"AuroreLalucq",1461986155570905090,"https://t.co/LCJvU1VYmZ","2021-11-20 10:13:56",112,18,1,91,2
"Negative",0.774,0.77419674,0.08498909,0.14081426,938522598585131008,"AuroreLalucq",1439588995068043274,"Soutien @T_Bouhafs et à toutes les victimes du cyberharcèlement de l’extrême droite. 
 #TahaNestPasSeul","2021-09-19 15:55:37",775,81,18,670,6
"Neutral",0.607,0.23216225,0.60691625,0.16092153,938522598585131008,"AuroreLalucq",1438861337224953863,"Inflation : bonne ou mauvaise nouvelle? 

Cela dépend surtout du type... d’inflation. 

Décryptage et propositions #LaMinuteLalucq https://t.co/RFGN1Cpfiz","2021-09-17 15:44:10",199,41,8,149,1
"Positive",0.859,0.083259925,0.05774907,0.85899097,938522598585131008,"AuroreLalucq",1409629798826188809,"Well… Bravo aux deux équipes. 
Bravo à la Suisse! Sacrée détermination.","2021-06-28 23:48:28",49,0,4,45,0
"Negative",0.961,0.96122515,0.021066803,0.017707992,938522598585131008,"AuroreLalucq",1409608108889018368,"Le RN doit définitivement avoir le seum ce soir.","2021-06-28 22:22:17",1530,124,32,1346,28
"Positive",0.662,0.06570692,0.27213952,0.6621536,938522598585131008,"AuroreLalucq",1574295691052126208,"« pour aider les européens dans cette période, il va falloir trouver de l’argent.
De l’argent, il y en a. On le sait.
Cet argent est inégalement réparti, on le sait aussi. » 

https://t.co/TdEO70D7YB","2022-09-26 09:11:56",338,67,43,226,2
"Negative",0.923,0.9227208,0.049301635,0.027977593,938522598585131008,"AuroreLalucq",1594666566154878977,"Cela fait un an que j’avertis sur les dangers de ce marché car il n’est pas régulé. 
Malgré les insultes. Malgré les raids sur les réseaux sociaux. 
Ces raids continuent. Mais tant que ce marché ne sera pas régulé, je parlerai et nous légiférerons.

https://t.co/7BK1Fm768g","2022-11-21 13:18:31",234,51,0,157,26
"Positive",0.722,0.13125351,0.14691201,0.7218345,938522598585131008,"AuroreLalucq",1594346642110844930,"Et je ne peux pas être plus d’accord! 

Intégrer les cryptos dans la législation actuelle, les traiter comme des actifs financiers.  https://t.co/0rIjtEmexB","2022-11-20 16:07:15",26,1,0,21,4
"Positive",0.455,0.16647841,0.37858388,0.45493776,938522598585131008,"AuroreLalucq",1594286032249298949,"« La sociologue rappelle, dans sa chronique, que les maux de l’hôpital sont désormais bien connus des chercheurs et des politiques. 
Les remèdes aussi. » https://t.co/U0Q7fgZk9F","2022-11-20 12:06:25",39,11,5,23,0
"Negative",0.824,0.82416683,0.07620498,0.09962825,938522598585131008,"AuroreLalucq",1593956473511485440,"Le gouvernement hongrois bloque toujours la taxation des multinationales. 

Il refuse un accord européen qu’il a pourtant signé au niveau international.

Il le peut grâce à l’unanimité en matière fiscale. 
Règle qu’il faudra supprimer pour faire avancer la justice fiscale. https://t.co/xnkPUOOu7x","2022-11-19 14:16:52",159,28,12,117,2
"Negative",0.852,0.85234743,0.0895153,0.058137286,938522598585131008,"AuroreLalucq",1593500018417213441,"« Comment comprendre que ces produits ne soient pas encadrés comme les autres services financiers ? Que le secteur des cryptos ne soit pas soumis aux mêmes obligations, pourtant insuffisantes, imposées au monde de la banque et de la finance ? » https://t.co/Qgj24OQdvy","2022-11-18 08:03:04",188,16,101,69,2
