"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Neutral",0.591,0.23445322,0.5913874,0.17415944,472852289,"Brevesdepresse",1567929094699991041,"🔴🇬🇧FLASH - la reine Elizabeth II est décédée à l'âge de 96 ans. (BBC)","2022-09-08 19:33:21",1815,462,40,1187,126
"Negative",0.772,0.77180445,0.1386338,0.08956172,472852289,"Brevesdepresse",1596983784695439360,"⚡🇫🇷FLASH - Cancel culture : après les protestations d'un syndicat policier et de personnalités d'extrême droite, la @Fnac annonce sur Twitter la suppression à la vente d'un jeu de plateau intitulé ""Antifa"". Un jeu de simulation dans lequel le joueur anime un groupe antifasciste. https://t.co/GWIf0Q6ccs","2022-11-27 22:46:19",1591,380,129,994,88
"Negative",0.492,0.49173748,0.25727063,0.2509919,472852289,"Brevesdepresse",1596767195983667200,"🔴🇪🇸INFO - Manuel #Valls écope de 277.000 € d'amende pour le financement irrégulier de sa campagne des municipales à Barcelone. Des faits ""très graves"" estime la Cour des Comptes. L'ex 1er min. français a reçu de l'argent venant d'hommes d'affaires et de la riche élite catalane.","2022-11-27 08:25:40",11479,3150,268,7836,225
"Neutral",0.607,0.18551208,0.60748225,0.20700565,472852289,"Brevesdepresse",1596424445111197697,"⚡🇫🇷FLASH - Inflation sur 1 an :
Viandes surgelées +29,34%
Essuie-tout +25,78%
Papier toilette +20,56%
Pâtes +20,3%
Huile +20,2%
Beurre +17,64%
Oeufs +16,23%
Conserves de légumes +15,54%
Alimentation pour animaux +14,65%
Plats surgelés +14,6%
Riz +14,24%
(NielsenIQ)","2022-11-26 09:43:42",16525,5454,442,10028,601
"Positive",0.505,0.28912923,0.2058478,0.50502294,472852289,"Brevesdepresse",1596386525004144640,"🔴🇫🇷FLASH -Le gouvernement a eu recours au 49-3 pour la 6ème fois hier à l'AN. Cet article, qui empêche le vote des parlementaires, pourrait être utilisé pour faire passer en force la très impopulaire réforme des retraites, a indiqué récemment le député macroniste Sacha Houlié...","2022-11-26 07:13:01",3887,1376,132,2238,141
"Negative",0.871,0.8711054,0.0818872,0.047007363,472852289,"Brevesdepresse",1596205605529665536,"⚡🇫🇷FLASH - Le parquet de Paris a demandé un non-lieu dans l’enquête sur l’empoisonnement à grande échelle lié à l’utilisation du #chlordécone aux Antilles françaises. (réquisitoire)","2022-11-25 19:14:07",7251,3185,443,2925,698
"Negative",0.834,0.83422565,0.1180866,0.04768771,472852289,"Brevesdepresse",1595861049630236676,"🔴🇫🇷FLASH - Le parquet national financier a ouvert 2 informations judiciaires concernant d'une part les comptes de campagne d'Emmanuel #Macron pour les présidentielles de 2017 et de 2022 et d'autre part sur des soupçons de favoritisme envers le cabinet de conseil #McKinsey. (PNF)","2022-11-24 20:24:58",9436,2727,196,6376,137
"Negative",0.852,0.8515277,0.08100517,0.06746712,472852289,"Brevesdepresse",1595648531687264257,"⚡🇫🇷FLASH - Le recasage se poursuit en macronie où le PR fait traverser la rue à ses proches. Après sa déroute aux législatives, l’ex-ministre Amélie de Montchalin vient d'être nommée ambassadrice à l’OCDE. Un poste rémunéré 10.000€ net par mois, précise un journaliste de BFMTV.","2022-11-24 06:20:30",7370,2732,150,4380,108
"Negative",0.908,0.90842754,0.06382866,0.027743826,472852289,"Brevesdepresse",1595513140065755143,"⚡🇫🇷INFO - Mi-septembre, la députée du Rassemblement national Yaël #Menache était agressée par des « voyous ». Dans un communiqué, elle accusait des « adversaires politiques ». Problème : selon StreetPress, ses agresseurs sont des sympathisants...du #RN ! https://t.co/vJOvY3VI0T","2022-11-23 21:22:30",1947,529,43,1336,39
"Negative",0.922,0.9224704,0.05427927,0.02325035,472852289,"Brevesdepresse",1595498382314856449,"⚡🇫🇷INFO - Accusé d'avoir frappé un ado et d'avoir uriné sur lui et son ami, un policier de St-Ouen a tout nié. La brigade a tout couvert. Ils ignoraient 2 choses : l’existence d’une vidéo et le métier du frère de la victime, policier à la BAC. (Mediapart)
https://t.co/127a87Yz7C","2022-11-23 20:23:51",9070,3044,175,5674,177
