"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Positive",0.574,0.1034817,0.32212567,0.5743926,765849247262633984,"brutofficiel",1596942935840391170,"C'est l'histoire d'un ado passionné de rap qui est devenu LE photographe du rap français. Kool Shen, PNL, Booba, Youssoupha… En 20 ans, il a réalisé des centaines de pochettes d'albums, et souvent les plus marquantes. On a passé la journée avec @fifoudezign dans ses studios. https://t.co/VVkFry4CtI","2022-11-27 20:04:00",125,26,2,94,3
"Negative",0.752,0.7520522,0.11741589,0.13053194,765849247262633984,"brutofficiel",1596812576385540096,"Vous savez, cette petite mélodie qui sort de nulle part et qui squatte toute la journée dans votre tête… On appelle ça un ""ver d'oreille"".

À deux doigts de craquer, notre journaliste @ChandrouKoumar a voulu comprendre, alors il a demandé directement à un neuroscientifique. https://t.co/FnyeFmhheq","2022-11-27 11:26:00",125,23,6,92,4
"Negative",0.86,0.86033654,0.08761253,0.05205093,765849247262633984,"brutofficiel",1596762748255318017,"""C'est une femme qui va présenter des signes de grossesse, ventre qui s'arrondit, plus de règles, lait qui sort des mamelons… et qui n'est pas enceinte.""
Ça, c'est une grossesse nerveuse. @DrLucieJoly raconte comment elles peuvent se déclencher, et pourquoi il faut en parler. https://t.co/Szn89estyM","2022-11-27 08:08:00",101,35,0,63,3
"Negative",0.928,0.92786545,0.045162603,0.02697199,765849247262633984,"brutofficiel",1596550348860071936,"""Je n'ai pas voulu que d'autres femmes vivent dans cette détresse."" 
Dans les années 70, bravant l'interdiction d'avorter, de nombreuses femmes s'entraidaient en secret. Brigitte était l'une d'elles. Elle raconte. https://t.co/DS8ZUmCbZx","2022-11-26 18:04:00",201,50,6,143,2
"Positive",0.481,0.25196284,0.26720908,0.4808281,765849247262633984,"brutofficiel",1596500017073729536,"""Depuis le début de cette crise, nous subissons une hausse de 12% du nombre de personnes accueillies.""
Monsieur le président de la République, Patrice Douret, président des @restosducoeur a un message pour vous. https://t.co/GYhAlRWvxD","2022-11-26 14:44:00",124,42,1,76,5
"Negative",0.954,0.9543798,0.025088763,0.0205314,765849247262633984,"brutofficiel",1596412943159238656,"Alors, un scandale cette Coupe du monde au Qatar ? On a demandé à 10 journalistes de nations qui y participent comment l'événement était perçu chez eux. Entre ferveur, boycott… et indifférence. https://t.co/8jqUKNFzMd","2022-11-26 08:58:00",136,30,10,91,5
"Positive",0.765,0.04471107,0.19066924,0.76461977,765849247262633984,"brutofficiel",1596179411778162688,"""La santé mentale, je me sens obligée d'en parler dans mes chansons, c'est dans mon quotidien""
Yoa est une chanteuse de 23 ans et comme beaucoup de sa génération, la santé mentale est un sujet du quotidien. Pour elle et pour les autres, elle le met en chanson. Elle nous raconte. https://t.co/NYHUGQhdIU","2022-11-25 17:30:02",49,9,1,38,1
"Negative",0.905,0.90525305,0.04687913,0.047867816,765849247262633984,"brutofficiel",1596157007475736576,"Le gaz hilarant, aussi appelé protoxyde d’azote, est de plus en plus en vogue auprès des jeunes.
Dans ce podcast Brut, on décrypte cette tendance dangereuse.
🎧 À écouter en exclu sur @Spotifyfrance 
➡️https://t.co/EaZ3A7WVDn","2022-11-25 16:01:00",16,3,1,12,0
"Negative",0.686,0.6864665,0.25491562,0.05861786,765849247262633984,"brutofficiel",1596078992775331841,"Pourquoi les matchs de la Coupe du monde durent-ils si longtemps ? https://t.co/mFC66vg2cc","2022-11-25 10:51:00",139,31,3,105,0
"Negative",0.633,0.632732,0.19649014,0.17077789,765849247262633984,"brutofficiel",1596062336598495232,"Le collectif « Le bruit qui court » a organisé un happening à Paris, dans un centre commercial, pour dénoncer l’impact du Black Friday et de la fast-fashion sur l’environnement. 
Images @RemyBuisine pour Brut. https://t.co/ln6kgrm95o","2022-11-25 09:44:49",478,91,32,329,26
