"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Negative",0.952,0.95169574,0.032617953,0.015686342,971820228,"CerfiaFR",1596988102652071937,"🇨🇲 DRAME | Au #Cameroun, au moins 11 personnes ont perdu la vie après un éboulement de terrain à #Yaoundé.  

👉 Ces personnes s’étaient réunies en nombre sur une colline afin de rendre un hommage à leurs #défunts lorsque le sol s’est affaissé.","2022-11-27 23:03:28",406,56,10,335,5
"Positive",0.731,0.06301437,0.20646718,0.73051846,971820228,"CerfiaFR",1596949464409079809,"🟠 En cette fin de week-end, on vous résume les infos qu’il ne fallait pas louper cette semaine, en thread 👇. #LaSemaineEn7Tweets","2022-11-27 20:29:56",332,17,8,303,4
"Negative",0.858,0.8576532,0.10007159,0.042275198,971820228,"CerfiaFR",1596919673664475136,"🇫🇷🚉 FLASH | Un réseau de #RER va être mis en place dans 10 grandes villes françaises, annonce Emmanuel #Macron, sans préciser lesquelles. Il indique que ce sont des villes où il y a « trop de circulation » et « où les déplacements sont compliqués ».","2022-11-27 18:31:34",2118,138,90,1793,97
"Negative",0.902,0.9018882,0.074852504,0.023259396,971820228,"CerfiaFR",1596916401134092289,"🇫🇷 FLASH | Près de #Reims, la dépouille presque intacte d’un soldat de la Première Guerre Mondiale a été retrouvée dans un champ. Le soldat qui portait des éléments d’uniforme #allemand pourrait avoir été tué en avril 1917.","2022-11-27 18:18:33",8104,818,38,7202,46
"Negative",0.93,0.9298076,0.04981564,0.020376815,971820228,"CerfiaFR",1596912465631232002,"🇫🇷 FLASH | Un retraité de 76 ans a été mis en examen pour #viols aggravés sur ses 2 voisines mineures de moins de 15 ans, à #Paris. Elles souffrent d’un handicap auditif et il les aidait pour leurs devoirs.","2022-11-27 18:02:55",1512,215,41,1224,32
"Positive",0.874,0.021207502,0.104891114,0.87390137,971820228,"CerfiaFR",1596908633375313921,"⚽️ Blue Lock, le nouvel #animé qui fait sensation :
https://t.co/yhsDUR2mBK","2022-11-27 17:47:41",134,9,11,114,0
"Negative",0.902,0.90164137,0.07314005,0.025218569,971820228,"CerfiaFR",1596888321820532738,"🇺🇸👮‍♀️ FLASH | Un #médecin a été arrêté par la police en #Floride, il est accusé d'avoir administré des sédatifs à des patientes lors de traitements et les avoir ensuite violées.","2022-11-27 16:26:59",633,64,14,549,6
"Negative",0.692,0.69227517,0.17182791,0.13589683,971820228,"CerfiaFR",1596868043602366465,"🇫🇷 « Emploi du temps surchargé », « horaires de nuit », les #députés veulent revoir à la baisse leur emploi du temps :

https://t.co/D67jgaXEvt","2022-11-27 15:06:24",442,32,68,282,60
"Negative",0.797,0.79703176,0.12317926,0.07978896,971820228,"CerfiaFR",1596862993320628225,"🇨🇳 FLASH | ""Xi #Jinping, démission !"", ""À bas le Parti communiste !"" : plusieurs centaines de chinois manifestent contre la politique ""zéro covid"" et le #confinement strict qui leur est imposé depuis près de 3 ans. 

https://t.co/So5UnhcHbK","2022-11-27 14:46:20",1976,228,41,1661,46
"Neutral",0.503,0.06349387,0.5029979,0.43350825,971820228,"CerfiaFR",1596850073580847104,"🇫🇷🚇 FLASH | Après le Pass #Navigo à 90€, le prix du ticket de #métro en Île-de-France va augmenter et sera de 2,30€ à partir du 1er janvier, soit une hausse de 21%.","2022-11-27 13:55:00",10738,1756,308,6000,2674
"Negative",0.732,0.73211074,0.20549689,0.062392347,971820228,"CerfiaFR",1596847748460036097,"🇫🇷 FLASH | Le nombre de détenus en #prison atteint un nouveau record, avec 72 809 personnes pour 60 698 places, soit une densité de 120%.","2022-11-27 13:45:45",1830,158,71,1570,31
"Negative",0.906,0.90589094,0.047316954,0.046792172,971820228,"CerfiaFR",1596841265726750721,"🇫🇷 FLASH | « Il y a eu effectivement une dérive, des abus », admet Bruno #LeMaire au sujet des multiples recours de l’État aux cabinets de conseil, à l’instar de #McKinsey. 
« Je le reconnais bien volontiers, je pense que nous sommes allés trop loin », a-t-il reconnu.","2022-11-27 13:20:00",790,87,43,650,10
"Negative",0.933,0.93340105,0.048042476,0.018556451,971820228,"CerfiaFR",1596835725781221382,"🇫🇷 FLASH | Une jeune femme a été violemment percutée par une voiture alors qu’elle traversait un passage piéton, elle est gravement blessée et souffre de multiples traumatismes. 

👉 Le conducteur du véhicule, ayant pris la fuite, est activement recherché par la police.","2022-11-27 12:57:59",2098,244,47,1783,24
"Negative",0.879,0.8789566,0.08772334,0.03332011,971820228,"CerfiaFR",1596622318616600576,"🇫🇷 FLASH | #KobaLaD et 4 autres personnes ont été placés en garde à vue cette nuit, soupçonnés d’avoir agressé un homme à la sortie d’une boîte de nuit, à #Paris.","2022-11-26 22:49:59",7539,890,84,6430,135
"Positive",0.38,0.29796448,0.32219213,0.3798434,971820228,"CerfiaFR",1596566460012580864,"🇦🇺 FLASH | Environ 2500 personnes se sont rassemblées nues samedi sur une célèbre plage de #Sydney, en #Australie, dans le cadre d'une installation artistique destinée à sensibiliser le public sur le #cancer de la peau. https://t.co/PcxSrUZejk","2022-11-26 19:08:01",2889,188,125,2417,159
"Neutral",0.657,0.023574349,0.65656203,0.31986368,971820228,"CerfiaFR",1596516070482919429,"🇫🇷⚽️ Le second match de #CDM2022 pour les Bleus c’est aujourd’hui ! Tout ce qu’il faut savoir :

https://t.co/u0FeB4Y8F0","2022-11-26 15:47:47",105,1,8,96,0
"Negative",0.904,0.90434855,0.06711088,0.02854052,971820228,"CerfiaFR",1596505302454657024,"🇮🇷 FLASH | Une supportrice iranienne a été exclue des tribunes lors du match de l’#Iran contre le #PaysDeGalle pour avoir porté un maillot floqué « #MahsaAmini », symbole des contestations et des révoltes iraniennes. https://t.co/Lx4GhtXNty","2022-11-26 15:05:00",2501,257,43,2170,31
"Positive",0.406,0.32923356,0.26488253,0.4058839,971820228,"CerfiaFR",1596496053938753537,"🇺🇸🛳️ FLASH | Aux États-Unis, le passager d’un #paquebot a été retrouvé sain et sauf 21 heures après être passé par dessus bord. Les secours #américains parlent de « miracle de Thanksgiving. »","2022-11-26 14:28:15",1393,68,20,1300,5
"Neutral",0.395,0.28438756,0.39452124,0.32109123,971820228,"CerfiaFR",1596486489420009472,"🇫🇷 Elisabeth #Borne a enclenché le sixième 49.3, cette fois-ci sans débat préalable : 

https://t.co/ptsPyE2P9f","2022-11-26 13:50:15",1263,126,99,902,136
"Negative",0.886,0.8864987,0.08416941,0.029331923,971820228,"CerfiaFR",1596483310842433537,"🇫🇷 FLASH | Deux enfants de 9 et 6 ans sont morts dans l’#incendie d’un immeuble ce matin à #OnetLeChâteau, dans l’Aveyron. Les autres habitants ont été évacués.

👉 Une enquête a été ouverte.","2022-11-26 13:37:37",629,48,9,572,0
