"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Neutral",0.555,0.14577602,0.5549967,0.29922724,44196397,"elonmusk",1602472202619654144,"Follow 🐰","2022-12-13 02:15:20",458856,33799,37568,381249,6240
"Neutral",0.494,0.17935935,0.49371135,0.3269293,44196397,"elonmusk",1602389340763586561,"😛 https://t.co/X8Y1YEuS3C","2022-12-12 20:46:04",802454,55111,30372,708095,8876
"Neutral",0.521,0.26350462,0.5208395,0.21565586,44196397,"elonmusk",1601668368737906688,"https://t.co/80DdvpsNjM","2022-12-10 21:01:11",391727,38237,13951,337196,2343
"Negative",0.766,0.76632607,0.15835531,0.075318694,44196397,"elonmusk",1602307663970213890,"The Branch Covidians are upset lol","2022-12-12 15:21:31",575711,50837,36088,483256,5530
"Negative",0.468,0.468039,0.46403474,0.06792623,44196397,"elonmusk",1601667312930590721,"Twitter is both a social media company and a crime scene","2022-12-10 20:56:59",469091,56438,24676,382408,5569
"Positive",0.876,0.021455437,0.10229666,0.87624794,44196397,"elonmusk",1601624795585486848,"🇲🇦🇲🇦 Congrats Morocco!! 🇲🇦🇲🇦","2022-12-10 18:08:02",1200941,127147,29589,1032010,12195
"Neutral",0.815,0.08874642,0.8154018,0.09585184,44196397,"elonmusk",1623182547373985793,"🎯 https://t.co/jL5fjQxTcz","2023-02-08 05:50:51",317436,27638,8505,279407,1886
"Neutral",0.535,0.23434365,0.53511316,0.23054321,44196397,"elonmusk",1594509880840388610,"Our love will never die https://t.co/y5SldfAAt0","2022-11-21 02:55:54",544911,36038,23493,480863,4517
"Neutral",0.411,0.34238657,0.41052577,0.24708772,44196397,"elonmusk",1594500655724609536,"And lead us not into temptation … https://t.co/8qNOXzwXS9","2022-11-21 02:19:15",1290378,93742,71827,1098066,26743
"Neutral",0.894,0.030023938,0.8941105,0.0758656,44196397,"elonmusk",1594455929256349697,"World Cup Qatar 2022: Opening Ceremony
https://t.co/TjSSitY7fK","2022-11-20 23:21:31",155385,13905,8062,131691,1727
"Positive",0.866,0.022950986,0.11147784,0.8655712,44196397,"elonmusk",1594339820792430601,"World Cup starts soon! Follow on Twitter for best coverage by far.","2022-11-20 15:40:09",556504,31605,27340,494400,3159
"Positive",0.466,0.14737087,0.38689926,0.46572992,44196397,"elonmusk",1594191387519373313,"Twitter is ALIVE","2022-11-20 05:50:20",1678343,114269,91794,1449928,22352
"Positive",0.698,0.10152019,0.20001741,0.6984624,44196397,"elonmusk",1593958104365993986,"Fascinating to watch Twitter Trump poll!","2022-11-19 14:23:21",525145,24154,41016,456603,3372
"Neutral",0.879,0.03373192,0.87880754,0.0874606,44196397,"elonmusk",1593901355667582976,"Tesla FSD 10.69.3.1 going to wide release now","2022-11-19 10:37:51",135497,6785,8024,120092,596
"Neutral",0.77,0.13115324,0.7698779,0.09896884,44196397,"elonmusk",1593899029531803649,"Just leaving Twitter HQ code review https://t.co/pYcXRTJm14","2022-11-19 10:28:36",548921,36933,32196,463591,16201
"Neutral",0.613,0.13980678,0.61340237,0.24679086,44196397,"elonmusk",1593893237873201152,"Trump poll getting ~1M votes/hour!","2022-11-19 10:05:35",705091,37585,46077,617344,4085
"Negative",0.763,0.7627918,0.17537826,0.06182985,44196397,"elonmusk",1593767953706921985,"Reinstate former President Trump","2022-11-19 01:47:45",1367720,230276,221746,838134,77564
"Neutral",0.786,0.1228489,0.78593475,0.09121631,44196397,"elonmusk",1578055594573004800,"Starlink view of 2nd stage deorbit burn https://t.co/kbLv95bAK7","2022-10-06 18:12:27",88356,4925,5652,77443,336
"Negative",0.592,0.59212387,0.35153753,0.056338627,44196397,"elonmusk",1577880686282919937,"War is the ultimate Supreme Court","2022-10-06 06:37:25",268403,18107,29196,215818,5282
"Neutral",0.486,0.13574804,0.48608792,0.378164,44196397,"elonmusk",1577428272056389633,"Buying Twitter is an accelerant to creating X, the everything app","2022-10-05 00:39:41",506624,36043,37894,421076,11611
"Neutral",0.692,0.10662035,0.6917737,0.2016059,44196397,"elonmusk",1557759290219171841,"Fate 🖤 Irony https://t.co/RHZ9BEws7k","2022-08-11 18:02:11",307762,38151,10828,256430,2353
"Negative",0.733,0.7325017,0.19495945,0.07253884,44196397,"elonmusk",1557602903791214593,"deep thot https://t.co/0EcPd30QAs","2022-08-11 07:40:45",286326,24645,7375,252682,1624
"Neutral",0.521,0.26350462,0.5208395,0.21565586,44196397,"elonmusk",1557602588186578944,"https://t.co/UfZdHZvtAA","2022-08-11 07:39:30",573742,40316,8915,521245,3266
