"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Negative",0.4,0.40038776,0.2707212,0.3288911,1976143068,"EmmanuelMacron",1599832609416040448,"L’Histoire alerte le présent.","2022-12-05 19:26:32",6193,497,1415,3962,319
"Neutral",0.863,0.056574233,0.86269605,0.08072965,1976143068,"EmmanuelMacron",1600096802329735169,"Trois jours aux États-Unis d’Amérique. https://t.co/tFYV30Pkdx","2022-12-06 12:56:20",6287,739,918,4382,248
"Positive",0.712,0.08680686,0.20150109,0.71169204,1976143068,"EmmanuelMacron",1601650526872928256,"Allez les Bleus !","2022-12-10 19:50:17",18953,1767,769,16098,319
"Neutral",0.692,0.058138244,0.692196,0.24966572,1976143068,"EmmanuelMacron",1601690664814923777,"Plus que deux étapes ! https://t.co/uhL98nFkFm","2022-12-10 22:29:47",39801,2773,1180,35509,339
"Negative",0.654,0.65442574,0.28322688,0.062347345,1976143068,"EmmanuelMacron",1592433538112315392,"The world must not be divided.","2022-11-15 09:25:16",17598,1106,2701,13190,601
"Neutral",0.737,0.01444015,0.7369423,0.2486176,1976143068,"EmmanuelMacron",1596920440487813121,"Je réponds à vos questions sur l'écologie, la suite ! https://t.co/Z85aTRuSRu https://t.co/BXHI6cXp9o","2022-11-27 18:34:37",28059,1627,3178,16662,6592
"Neutral",0.48,0.2328984,0.48031476,0.28678682,1976143068,"EmmanuelMacron",1596566176569884672,"Les Bleus ! https://t.co/axnLWCSASG","2022-11-26 19:06:53",69619,3936,2058,63150,475
"Neutral",0.465,0.13581969,0.4647295,0.39945084,1976143068,"EmmanuelMacron",1596558363302629376,"في عالمٍ يواجه سلسلة من الأزمات، من واجبنا الحفاظ على الروح الرياضية كونها مساحة لتقارب الشعوب حول القيم العالمية.","2022-11-26 18:35:51",5022,338,1117,3267,300
"Neutral",0.367,0.2951153,0.36699483,0.33788985,1976143068,"EmmanuelMacron",1596551085715595265,"In a world facing a series of crises, we must protect the spirit of sport. Sport must offer a space to bring people together, around universal values.","2022-11-26 18:06:55",3183,306,583,2211,83
"Positive",0.903,0.036949005,0.060427837,0.9026232,1976143068,"EmmanuelMacron",1596547685435248640,"Dans le match qui nous oppose à nos amis danois, et avant les prochaines étapes du tournoi que nous espérons nombreuses, j’adresse tous mes encouragements aux Bleus. Le pays est derrière vous !","2022-11-26 17:53:25",9651,679,1292,7500,180
"Negative",0.569,0.56855243,0.300649,0.13079861,1976143068,"EmmanuelMacron",1596486523179847680,"The most vulnerable countries must not pay the price of a war they did not want. France, like Ukraine and all of our partners, has decided to make the choice, as it will always, to show solidarity through action: https://t.co/75P3XoehSZ","2022-11-26 13:50:23",2301,371,387,1512,31
"Negative",0.782,0.78166527,0.115543656,0.10279101,1976143068,"EmmanuelMacron",1596483604841840641,"Les pays les plus fragiles ne doivent pas payer le prix d'une guerre qu'ils n'ont pas voulue. La France comme l'Ukraine et comme tous nos partenaires, a décidé de faire et fera toujours le choix d'une solidarité en actes : https://t.co/6RZ24xG2Bj","2022-11-26 13:38:47",5308,625,1792,2723,168
"Positive",0.783,0.04714765,0.16991502,0.7829373,1976143068,"EmmanuelMacron",1596431159159771136,"Esattamente un anno fa, abbiamo suggellato l'unione tra i nostri due Paesi con un trattato. In questo giorno, invio un messaggio di profonda amicizia al popolo italiano. https://t.co/f7tXaya5pA","2022-11-26 10:10:23",5426,619,885,3745,177
"Positive",0.738,0.06056715,0.20171879,0.737714,1976143068,"EmmanuelMacron",1596429655158018048,"Il y a tout juste un an, nous scellions dans un traité l’union entre nos deux pays. En ce jour, j’adresse un message de profonde amitié au peuple italien.
https://t.co/Yvucx4avGb","2022-11-26 10:04:24",3034,415,625,1883,111
