"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Negative",0.786,0.78586465,0.19138044,0.022754923,1233151236154761217,"L_ThinkTank",1601729819880062976,"[ ⚽️ MONDIAL ]

🔸 Des tensions sont toujours en cours sur les Champs Élysées. 

https://t.co/dLD9BuuhQE","2022-12-11 01:05:22",753,102,61,524,66
"Negative",0.878,0.8781109,0.088484116,0.03340507,1233151236154761217,"L_ThinkTank",1601728413030809601,"[ ⚽️ MONDIAL ]

🔸 Après la victoire du Maroc face au Portugal, des affrontements ont eu lieu, comme ici sur les Champs Élysées. Des motos ont été incendiées et la police a procédé à 36 interpellations. https://t.co/O36xDTTp0q","2022-12-11 00:59:46",519,62,40,339,78
"Positive",0.744,0.029720124,0.22635539,0.7439245,1233151236154761217,"L_ThinkTank",1601683364804956160,"[ ⚽️ MONDIAL ]

🔸️ La France bat l'Angleterre ! ❤️ Direction les demi-finales pour les bleus et ce sera face au Maroc ! https://t.co/68bTf5P9pn","2022-12-10 22:00:46",1281,93,16,1166,6
"Negative",0.474,0.47408855,0.34479478,0.1811167,1233151236154761217,"L_ThinkTank",1601668322461876225,"[ 🇨🇳 CHINE | 🇹🇼 TAÏWAN ]

🔸 « Taïwan est le Taïwan de la Chine et aucune force extérieure n'a le droit d'intervenir. » Wei Fenghe, Ministre chinois de la Défense. https://t.co/BfJ3C1gn7a","2022-12-10 21:01:00",366,42,28,288,8
"Positive",0.451,0.21037403,0.33880457,0.4508214,1233151236154761217,"L_ThinkTank",1601654229927571456,"[ 🇷🇺 RUSSIE | 🇫🇷 FRANCE ]

🔸 « TotalEnergies décide de retirer ses administrateurs de la société (russe) Novatek, déconsolidera sa participation dans Novatek de ses comptes et enregistrera une dépréciation exceptionnelle de 3.7 milliards de dollars. » - Communiqué https://t.co/XKsC3KqTI7","2022-12-10 20:05:00",228,32,6,189,1
"Negative",0.903,0.90319085,0.061900623,0.034908604,1233151236154761217,"L_ThinkTank",1601646679861522433,"[ 🇷🇺 RUSSIE ]

🔸 Viktor Bout, le marchand d'armes russe échangé contre la basketteuse américaine, a accusé l'Occident de vouloir « diviser et détruire la Russie ». https://t.co/KqNd7G7FXt","2022-12-10 19:35:00",387,31,26,322,8
"Negative",0.733,0.73342854,0.17704102,0.0895305,1233151236154761217,"L_ThinkTank",1601631328499294208,"[ 🇷🇺 RUSSIE ]

🔸 « Je vous assure qu'après que le système d'alerte d'attaque de missile reçoit un signal d'attaque de missile, des centaines de nos missiles sont en l'air de notre côté et il sera impossible d'intercepter une centaine de missiles. » - Vladimir Poutine https://t.co/A6dAqviAqs","2022-12-10 18:34:00",577,64,60,445,8
"Negative",0.778,0.77769905,0.20476112,0.017539863,1233151236154761217,"L_ThinkTank",1601625750234599424,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 Vidéo d’un Su-25 russe ayant un problème technique à l’atterrissage. https://t.co/EseTJhVflT","2022-12-10 18:11:50",529,48,36,436,9
"Positive",0.751,0.046919994,0.20256735,0.7505127,1233151236154761217,"L_ThinkTank",1601623471951224834,"[ ⚽️ MONDIAL ]

🔸 Après sa victoire 1-0 face au Portugal, le Maroc devient la première nation africaine à atteindre les demi-finales d’une Coupe du monde de football. https://t.co/ky2estb3bJ","2022-12-10 18:02:47",856,78,29,743,6
"Neutral",0.564,0.26089048,0.56407684,0.17503269,1233151236154761217,"L_ThinkTank",1601623275787800578,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 « My Christmas wishlist : 1. Leopards - 2. Marders - 3. Abrams - 4. Patriots - 5. ATACMS » - Conseiller présidentiel ukrainien, Mykhaïlo Podolyak. https://t.co/fVgZvcNxU8","2022-12-10 18:02:00",202,13,11,176,2
"Negative",0.706,0.705875,0.1424079,0.15171711,1233151236154761217,"L_ThinkTank",1601616229273198592,"[ 🇷🇺 RUSSIE ]

🔸  Quelques jours après avoir affirmé que le risque de guerre nucléaire augmentait, Vladimir Poutine a indiqué que Moscou pourrait modifier sa doctrine militaire en introduisant la possibilité d'une frappe nucléaire préventive pour désarmer un ennemi. https://t.co/FhLrJFPSzA","2022-12-10 17:34:00",546,75,59,402,10
"Neutral",0.463,0.12900071,0.46280244,0.40819684,1233151236154761217,"L_ThinkTank",1601607924542865408,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 La Corée du Sud a envoyé une assistance humanitaire à l'Ukraine comprenant des générateurs électriques, du matériel médical et des médicaments. https://t.co/QDxYdJ5th5","2022-12-10 17:01:00",249,11,3,235,0
"Positive",0.535,0.21077657,0.25467542,0.534548,1233151236154761217,"L_ThinkTank",1601601008005586949,"[ 🇨🇳 CHINE ]

🔸 Images récemment dévoilées de l’inauguration du porte-avions CV-18 Fujian, en juin 2022. C’est le plus imposant navire de guerre non américain jamais construit et le deuxième porte-avions construit en Chine. https://t.co/kvhmblO7q6","2022-12-10 16:33:31",613,52,19,541,1
"Positive",0.598,0.10720059,0.29502085,0.5977785,1233151236154761217,"L_ThinkTank",1601600374867124224,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 La Géorgie, afin de fournir une aide humanitaire au peuple ukrainien, achètera des générateurs électriques et les enverra en Ukraine.","2022-12-10 16:31:00",229,17,3,209,0
"Negative",0.806,0.8061262,0.12570544,0.06816833,1233151236154761217,"L_ThinkTank",1601592825581281284,"[ 🇷🇺 RUSSIE | 🇮🇳 INDE ]

🔸 Selon Bloomberg, le Premier Ministre indien, Narendra Modi, ne tiendra pas le sommet annuel Russo-Indien après que Vladimir Poutine a menacé d'utiliser des armes nucléaires. https://t.co/1tdMqpy6zu","2022-12-10 16:01:00",600,70,22,507,1
"Negative",0.907,0.9071896,0.060459606,0.032350853,1233151236154761217,"L_ThinkTank",1601586533475172352,"[ 🇫🇷 FRANCE ]

🔸 « La crise ukrainienne nous montre que ce qui se passe à l’Est peut être une menace pour l’Europe. On montre donc que l’OTAN est présente, unie et prête à toute éventualité. » - Colonel Alexandre de Feligonde, responsable d'un bataillon interallié en Roumanie. https://t.co/4iv9nB1Yn1","2022-12-10 15:36:00",283,23,7,253,0
"Neutral",0.64,0.1325989,0.63988495,0.22751613,1233151236154761217,"L_ThinkTank",1601577725533167616,"[ 🇵🇱 POLOGNE | 🇺🇸 ÉTATS-UNIS ]

🔸 La Pologne a reçu un lot de 63 véhicules « MRAP COUGAR » de la part des États-Unis. https://t.co/23eFAhgXZY","2022-12-10 15:01:00",420,28,12,376,4
"Neutral",0.66,0.18615437,0.6603239,0.15352166,1233151236154761217,"L_ThinkTank",1601576815759601665,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 Jean Claude Van Damme s’est rendu en Ukraine et a été pris en photo avec un médecin d’une clinique privée de Oujhorod. https://t.co/1gSBMj0bqu","2022-12-10 14:57:23",519,28,13,471,7
"Positive",0.68,0.07872998,0.24148202,0.67978805,1233151236154761217,"L_ThinkTank",1601570175907762178,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 Une nouvelle aide militaire des États-Unis d'un montant de 275 millions de dollars va prochainement être envoyée à Kiev pour booster ses capacités en matière de défense antiaérienne.","2022-12-10 14:31:00",191,14,6,168,3
"Negative",0.739,0.7387332,0.17506309,0.08620368,1233151236154761217,"L_ThinkTank",1601562626349096960,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 « Les autorités de Kiev cherchent à littéralement raser Donetsk avec des armes occidentales. » - Représentant permanent russe auprès de l'ONU, Vasily Nebenzya. https://t.co/hz4lrwILlW","2022-12-10 14:01:00",164,7,29,128,0
"Negative",0.922,0.9222057,0.051976427,0.02581795,1233151236154761217,"L_ThinkTank",1601555579729637376,"[ 🇺🇸 ÉTATS-UNIS ]

🔸 La Maison Blanche est inquiète du partenariat militaire à grande échelle entre la Russie et l'Iran, offrant à Téhéran un « niveau sans précédent de soutien militaire et technique ». Une « évolution néfaste pour l'Ukraine et la communauté internationale ».","2022-12-10 13:33:00",305,29,19,257,0
"Negative",0.913,0.91283554,0.055939186,0.031225298,1233151236154761217,"L_ThinkTank",1601303562101075969,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 Alors que les bombardements intenses à proximité de Bakhmut perdurent, la situation sur le champ de bataille se dégrade pour les soldats, notamment pour les ukrainiens qui sont de plus en plus sous pression.

https://t.co/U42ol5b4hs","2022-12-09 20:51:34",325,22,25,276,2
"Neutral",0.455,0.22157644,0.45463246,0.32379112,1233151236154761217,"L_ThinkTank",1601547778252976128,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 Le Premier Ministre britannique Sunak a promis à Zelensky, lors d'une conversation téléphonique, de nouvelles livraisons de canons anti-aériens et de missiles de défense aérienne à courte portée dans les semaines à venir. https://t.co/y1IaPIJkrK","2022-12-10 13:02:00",230,19,9,202,0
"Negative",0.412,0.41180825,0.34657124,0.2416206,1233151236154761217,"L_ThinkTank",1601540479891361792,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 Selon le Ministère britannique de la Défense, Kiev a libéré environ 54% de son territoire envahi par Moscou depuis le déclenchement de la guerre. À ce jour, la Russie contrôle 18% des zones ukrainiennes internationalement reconnues.","2022-12-10 12:33:00",358,41,15,300,2
"Negative",0.737,0.73743737,0.13511854,0.12744409,1233151236154761217,"L_ThinkTank",1601532175450374144,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 « Pendant des années, l'Occident a encouragé le génocide et la terreur dans le Donbass, a transformé ce pays en colonie et utilise maintenant cyniquement le peuple ukrainien comme chair à canon, comme bélier contre la Russie. » - Vladimir Poutine. https://t.co/pgl9mIBmRX","2022-12-10 12:00:00",388,60,56,264,8
"Positive",0.415,0.18272601,0.40231508,0.4149589,1233151236154761217,"L_ThinkTank",1601527140306268160,"[ 🇨🇳 CHINE | 🇩🇿 ALGÉRIE ]

🔸 Dans le cadre du sommet sino-arabe à Riyad, Xi Jinping a rencontré le Premier ministre algérien Aïmene Benabderrahmane. Pékin est disposé à approfondir la coopération avec l'Algérie dans les infrastructures, l'énergie, les mines et l'aérospatial. https://t.co/yceq7RbT6n","2022-12-10 11:39:59",231,21,14,194,2
"Positive",0.587,0.23912962,0.17346473,0.5874057,1233151236154761217,"L_ThinkTank",1601525632281763840,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 « L'Occident essaie par tous les moyens de maintenir sa domination. Nous voyons aujourd'hui les graves conséquences de telles actions en Ukraine. Pendant plusieurs années, l'Occident a détourné et exploité sans vergogne ses ressources. » V. Poutine https://t.co/BXiUcpUwJM","2022-12-10 11:34:00",188,14,23,148,3
"Neutral",0.363,0.29732615,0.36277047,0.3399034,1233151236154761217,"L_ThinkTank",1601517327648006144,"[ 🇧🇾 BIÉLORUSSIE ]

🔸 Selon Alexandre Loukachenko, les pays occidentaux prévoyaient de déclencher une guerre avec la Russie en cas de succès d'une tentative de coup d'État en Biélorussie en 2020, ajoutant que « les informations seront bientôt rendues publiques ». https://t.co/WAKXcLObl9","2022-12-10 11:01:00",562,64,90,399,9
"Positive",0.492,0.23395497,0.2740454,0.4919996,1233151236154761217,"L_ThinkTank",1601511790776549376,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 Vladimir Poutine estime que la Russie « aurait dû commencer plus tôt pour régler la situation en Ukraine », ajoutant que Moscou espérait « pouvoir régler la situation pacifiquement dans le cadre des accords de Minsk ». https://t.co/Oo5kLjttTc","2022-12-10 10:39:00",246,27,25,193,1
"Negative",0.472,0.47207752,0.27484316,0.25307932,1233151236154761217,"L_ThinkTank",1601502830887862272,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 Le président de la Douma d’État exhorte la France et l’Allemagne à indemniser les habitants du Donbass suite à la récente déclaration d’Angela Merkel sur les accords de Minsk : « c’était une tentative pour donner du temps à l'Ukraine ». https://t.co/BmhahNRPns","2022-12-10 10:03:24",215,19,10,181,5
"Negative",0.769,0.76898855,0.120864086,0.11014736,1233151236154761217,"L_ThinkTank",1601502479849586688,"[ 🇷🇺 RUSSIE ]

🔸  « Le plus important maintenant est de résister ensemble au danger auquel notre État est confronté, de faire preuve d'unité et d'endurance. » - Dmitri Medvedev https://t.co/sfJvtVNaen","2022-12-10 10:02:00",159,13,19,127,0
"Negative",0.375,0.37498403,0.3006646,0.32435137,1233151236154761217,"L_ThinkTank",1601496439602954240,"[ 🇷🇺 RUSSIE ]

🔸 Selon Vladimir Poutine, les prix du gaz en Europe explosent alors que la Russie vend du gaz à certains de ses partenaires pour plus de 10 fois moins cher ce qui stabiliserait leur économie. https://t.co/QL4NFAV8eE","2022-12-10 09:38:00",531,75,12,441,3
"Negative",0.833,0.832705,0.14096174,0.02633324,1233151236154761217,"L_ThinkTank",1601487129086898177,"[ 🇧🇾 BIÉLORUSSIE ]

🔸 Selon Alexandre Loukachenko, certains pays occidentaux connaîtront prochainement une crise politique, une crise énergétique et une crise alimentaire. https://t.co/HyYTIiW9mB","2022-12-10 09:01:00",522,47,94,360,21
"Neutral",0.544,0.15884762,0.54378575,0.29736662,1233151236154761217,"L_ThinkTank",1601480082022752256,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 « Le Ministère de la Défense se comporte de manière assez transparente. Tout ce qui se passe en réalité sur le terrain, tout se reflète dans les rapports quotidiens du ministère de la Défense, tout y est en fait objectif. » - Vladimir Poutine https://t.co/TqCQONnGTx","2022-12-10 08:33:00",166,8,23,134,1
"Neutral",0.416,0.31824782,0.41609985,0.26565236,1233151236154761217,"L_ThinkTank",1601472029219241984,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 Selon Vladimir Poutine, « l'opération militaire spéciale se déroule comme d'habitude » ajoutant « qu'il n'y avait aucun problème actuellement ». https://t.co/DAU83ZseRP","2022-12-10 08:01:00",256,12,37,204,3
"Negative",0.541,0.54129344,0.31004843,0.14865811,1233151236154761217,"L_ThinkTank",1601464479186706432,"[ 🇷🇺 RUSSIE ]

🔸 Concernant les informations sur l'approvisionnement des forces armées, Vladimir Poutine a déclaré : « Vous ne pouvez faire confiance à personne. Il n'y a que moi. » https://t.co/XYpEN1GoIM","2022-12-10 07:31:00",211,15,14,180,2
"Positive",0.676,0.06608384,0.2574898,0.67642635,1233151236154761217,"L_ThinkTank",1601464135413567488,"[ 🇷🇺 RUSSIE | 🇰🇿 KAZAKHSTAN ]

🔸️ Après avoir signé un plan de coopération pour 2023 avec son homologue kazakhstanais, le Ministre russe de la Défense, Sergueï Choïgou, affirme que la Russie est prête à élargir les domaines de coopération militaire avec le Kazakhstan. https://t.co/7AT8EJSeUE","2022-12-10 07:29:38",193,18,2,173,0
"Negative",0.722,0.72208977,0.16729736,0.11061278,1233151236154761217,"L_ThinkTank",1601457684485742592,"[ 🇷🇺 RUSSIE ]

🔸 Selon Vladimir Poutine, la Russie ne vendra pas de pétrole à « des pays hostiles qui lui fixent un prix plafond ». https://t.co/bvKJJNloC9","2022-12-10 07:04:00",366,37,17,311,1
"Negative",0.683,0.68300295,0.27241305,0.044583928,1233151236154761217,"L_ThinkTank",1601449128642445313,"[ 🇷🇺 RUSSIE | 🇺🇦 UKRAINE ]

🔸 Selon Vladimir Poutine, le « processus de règlement de la situation en Ukraine sera difficile et long ». https://t.co/SgFzVrTzs4","2022-12-10 06:30:00",151,8,11,131,1
