"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Neutral",0.559,0.22670038,0.5590177,0.21428189,24744541,"lemondefr",1606546368448925696,"Pierre Hermé : « Je suis né dans le sucre » https://t.co/wQ61SzHihG","2022-12-24 08:04:37",93,8,17,60,8
"Neutral",0.648,0.09371928,0.6479083,0.25837243,24744541,"lemondefr",1596857682698256384,"Cinq nuits au sommet dans les Alpes https://t.co/ETFh54QVqw","2022-11-27 14:25:14",54,8,2,43,1
"Positive",0.574,0.09024111,0.3353144,0.5744445,24744541,"lemondefr",1600227405410484224,"L’avenir de Go Sport mobilise la justice https://t.co/2jOwHrrkRf","2022-12-06 21:35:18",28,9,1,14,4
"Negative",0.909,0.9087835,0.07611861,0.015097855,24744541,"lemondefr",1607054375867895808,"Crise sociale à Mayotte : « On n’est pas français ici » https://t.co/76Zec9PVPS","2022-12-25 17:43:15",78,16,15,47,0
"Negative",0.395,0.39492944,0.33489648,0.2701741,24744541,"lemondefr",1607645246661304320,"S’aimer comme on se quitte : « Il a rejoint le FN sans me prévenir » https://t.co/yMoAVOEzxk","2022-12-27 08:51:10",31,2,7,21,1
"Negative",0.78,0.7795148,0.17644843,0.044036787,24744541,"lemondefr",1607035357488455680,"Que faire de nos vieux appareils électroniques inutilisés ? https://t.co/HnRWNWaARp","2022-12-25 16:27:41",80,13,12,54,1
"Positive",0.894,0.011746359,0.093925014,0.8943286,24744541,"lemondefr",1604771632387657729,"Six livres surprenants pour découvrir les spiritualités orientales https://t.co/XVNYZOaSgC","2022-12-19 10:32:27",35,7,0,27,1
"Positive",0.457,0.28975514,0.25338596,0.45685884,24744541,"lemondefr",1607781184234291200,"L’arrêt de nombreux réacteurs nucléaires entrave la réduction des émissions de gaz à effet de serre en France https://t.co/LpfWSmu9IZ","2022-12-27 17:51:20",43,5,12,23,3
"Neutral",0.63,0.044380665,0.62990457,0.32571474,24744541,"lemondefr",1607889761963806722,"Les sorties de la semaine : « Joyland », « M3Gan », « Par cœurs », « Caravage »… https://t.co/QE9cUo3ohX","2022-12-28 01:02:47",9,2,0,7,0
"Negative",0.471,0.47149664,0.3560858,0.17241761,24744541,"lemondefr",1607866181951651840,"Le gouvernement espagnol supprime la TVA sur les denrées de première nécessité https://t.co/Cr5ykcqipl","2022-12-27 23:29:05",246,43,13,176,14
"Neutral",0.387,0.26095235,0.38690153,0.35214612,24744541,"lemondefr",1607856079664201728,"La bio très enluminée de l’élu républicain George Santos https://t.co/Fl9QXeGKkZ","2022-12-27 22:48:56",30,5,3,21,1
"Negative",0.924,0.92417765,0.040225554,0.035596747,24744541,"lemondefr",1607853712336191489,"Tempête Elliott aux Etats-Unis : un bilan plus élevé est à craindre à mesure que les secours progressent https://t.co/KH5q5zy97S","2022-12-27 22:39:32",30,7,0,21,2
"Negative",0.912,0.9115777,0.06747673,0.020945577,24744541,"lemondefr",1607834448338337793,"Nouvelle grève des médecins libéraux sur fond de tension dans les hôpitaux https://t.co/6cKSkrIsEK","2022-12-27 21:22:59",35,4,9,21,1
"Neutral",0.689,0.10016952,0.6890352,0.21079531,24744541,"lemondefr",1607831343005683716,"Au Musée Cernuschi, à Paris, le renouveau de la peinture à l’encre en Chine au XXᵉ siècle https://t.co/tSETalGRuq","2022-12-27 21:10:38",36,8,3,24,1
"Negative",0.843,0.8427721,0.12860957,0.028618274,24744541,"lemondefr",1607822614298345472,"Violences conjugales : au-delà des logiciels espions, les formes multiples de la surveillance numérique https://t.co/zgol5vhsYe","2022-12-27 20:35:57",34,12,2,20,0
"Negative",0.7,0.70012295,0.20227224,0.097604826,24744541,"lemondefr",1607820092397559811,"Après le Tigré, l’Ethiopie voit surgir le spectre d’une autre guerre civile dans la région Oromia https://t.co/BMXnKSWmDU","2022-12-27 20:25:56",41,15,4,21,1
"Negative",0.805,0.80459255,0.16375655,0.031650886,24744541,"lemondefr",1607818184777764864,"Adecco met en garde ses intérimaires sur une possible fuite de leurs données personnelles https://t.co/RL61WxI4HL","2022-12-27 20:18:21",29,12,1,14,2
"Negative",0.906,0.9063079,0.06338593,0.030306136,24744541,"lemondefr",1607801224161644545,"L’ex-président sud-coréen Lee Myung-bak gracié par l’actuel chef de l’Etat, qui l’avait pourtant envoyé en prison lorsqu’il était procureur https://t.co/iMrtfqhGHY","2022-12-27 19:10:57",33,7,2,23,1
"Negative",0.416,0.41620055,0.30731556,0.2764839,24744541,"lemondefr",1607798878966784003,"« Chaleur humaine » | Philippe Bihouix : « La technologie a trop d’impact sur la planète pour être la solution à la crise du climat » https://t.co/CTNvRkW1Ch","2022-12-27 19:01:38",48,11,5,28,4
"Negative",0.922,0.9220008,0.049402665,0.028596418,24744541,"lemondefr",1607797458469376001,"La mort de la galeriste Suzanne Tarasiève, infatigable défenseuse des artistes https://t.co/dZo2VfpSSh","2022-12-27 18:56:00",47,15,2,29,1
"Negative",0.947,0.9468124,0.03789289,0.015294744,24744541,"lemondefr",1607794779118608387,"Un Iranien se suicide à Lyon pour dénoncer la répression dans son pays https://t.co/Fya6f5uH2R","2022-12-27 18:45:21",307,86,35,178,8
"Neutral",0.397,0.30476382,0.39661574,0.29862043,24744541,"lemondefr",1607791378439741449,"Loïc Bruni, champion du monde de VTT : « Ce jour-là, on était sur le toit du monde » https://t.co/VQKXv0L3Ne","2022-12-27 18:31:50",16,3,1,12,0
"Neutral",0.778,0.108520605,0.77779615,0.1136832,24744541,"lemondefr",1607787184987279366,"Val-d’Isère, en free-style https://t.co/SzpMp6w2DT","2022-12-27 18:15:10",21,3,2,16,0
"Positive",0.577,0.059368685,0.36411843,0.5765129,24744541,"lemondefr",1607779244016340992,"Le seuil d’éligibilité aux aides de l’Etat pour l’achat d’un vélo électrique sera rehaussé en 2023 https://t.co/he8mrh42Yw","2022-12-27 17:43:37",35,8,7,20,0
"Negative",0.918,0.918209,0.05810845,0.023682509,24744541,"lemondefr",1607774944313606144,"L’appel à la grève des médecins libéraux condamné par le ministre de la santé et le SAMU-Urgences de France https://t.co/hBxKwENzBz","2022-12-27 17:26:32",64,12,14,35,3
"Neutral",0.39,0.22479394,0.3901893,0.38501674,24744541,"lemondefr",1607771997487996928,"Abdennour Bidar : « Il serait temps de prendre conscience de la dimension spirituelle de la laïcité » https://t.co/74tso5UDgT","2022-12-27 17:14:49",79,11,17,49,2
"Neutral",0.424,0.1801408,0.42392144,0.3959378,24744541,"lemondefr",1607767242762076160,"Série | « La Nouvelle-Calédonie, une terre en attente » : l’archipel cherche son envol économique dans le Pacifique https://t.co/obPKzoi1jd","2022-12-27 16:55:56",28,7,2,19,0
"Negative",0.923,0.92327905,0.060484596,0.016236328,24744541,"lemondefr",1607763655789092866,"Fraude sociale : pourquoi il est compliqué de mesurer son montant 

Des diapos pour tout comprendre 👇

https://t.co/uxnQefaJzy","2022-12-27 16:41:41",58,14,13,31,0
