"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Positive",0.723,0.0327441,0.24436232,0.72289354,92564226,"LesEchos",1604101601945391106,"Miss France, le spectacle continue https://t.co/fMbuvZq4eP","2022-12-17 14:09:59",2,0,0,2,0
"Neutral",0.734,0.15217943,0.7340204,0.113800086,92564226,"LesEchos",1598581721972326400,"Véra Kempf, dans les règles de l'art https://t.co/WeezGXFDCF","2022-12-02 08:35:57",1,1,0,0,0
"Neutral",0.552,0.094277576,0.55178237,0.35394007,92564226,"LesEchos",1597513766219956224,"Phoenix, la renaissance perpétuelle https://t.co/PXZpPa7iZr","2022-11-29 09:52:16",3,1,0,2,0
"Neutral",0.507,0.10345223,0.5073177,0.38923007,92564226,"LesEchos",1596024938137362432,"Jean-Hugues Bretin, la passion du vin nature https://t.co/5uZeUZJpiK","2022-11-25 07:16:12",2,0,0,2,0
"Positive",0.775,0.044939507,0.1801334,0.77492714,92564226,"LesEchos",1598955637261615105,"Allemagne : le retour en grâce de l'épargne-logement https://t.co/MlTC5x9dyg","2022-12-03 09:21:45",5,2,0,3,0
"Neutral",0.546,0.34783995,0.5459564,0.106203675,92564226,"LesEchos",1592931085742051328,"Empathie et politique, l'éternel malentendu https://t.co/rQX3KrKTft","2022-11-16 18:22:20",1,0,1,0,0
"Neutral",0.691,0.1865809,0.69138336,0.12203579,92564226,"LesEchos",1590650852263415808,"Cézanne à la Tate Modern de Londres https://t.co/HakexAPybD","2022-11-10 11:21:30",6,2,0,4,0
"Positive",0.688,0.08483723,0.22709146,0.6880713,92564226,"LesEchos",1598953117042839552,"La surprenante rencontre entre Emmanuel Macron et Elon Musk https://t.co/gC8UocBZpx","2022-12-03 09:11:44",66,16,9,39,2
"Positive",0.518,0.05113659,0.4312378,0.5176256,92564226,"LesEchos",1598951836316303362,"Taux, nouveaux prêts : l'atterrissage du crédit immobilier se poursuit https://t.co/fygvoKqznJ","2022-12-03 09:06:39",11,5,2,4,0
"Positive",0.481,0.06888457,0.4501847,0.48093078,92564226,"LesEchos",1600924739064762378,"Retraites : sept jours pour faire bouger Berger https://t.co/rXPuGjUeTV","2022-12-08 19:46:16",1,0,1,0,0
"Neutral",0.67,0.14456479,0.6699299,0.18550527,92564226,"LesEchos",1601156181912952832,"Vin : Saint-Martin parmi les siens https://t.co/VAbIkcEtqv","2022-12-09 11:05:56",0,0,0,0,0
