"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Neutral",0.557,0.31920666,0.55727875,0.12351457,68440549,"libe",1593534668653084672,"La vente de l'OL à John Textor est reportée pour la troisième fois. Mais la cession n’est pas remise en cause.
 https://t.co/DYDWLdvzS6","2022-11-18 10:20:46",12,4,0,8,0
"Negative",0.883,0.8826881,0.09875683,0.018555097,68440549,"libe",1593276100142145536,"⚫ Figure de l’art moderne et contemporain, le galeriste Claude Bernard est mort https://t.co/vEc8N6SYmT","2022-11-17 17:13:18",19,8,0,11,0
"Positive",0.739,0.077129684,0.18367097,0.73919934,68440549,"libe",1599876537486041101,"Projet de loi #immigration : Gérard Darmanin aussi veut faire sa loi

Pour apparaître en homme fort sur la question migratoire, le ministre de l’Intérieur se lance dans un énième texte, sans pour autant en maîtriser les subtilités. ⤵
https://t.co/1LW69QlAPB","2022-12-05 22:21:05",2,0,0,2,0
"Negative",0.928,0.92805487,0.052320275,0.019624935,68440549,"libe",1599872631980843035,"🦭 Russie : 2 500 phoques retrouvés morts sur les côtes de la mer Caspienne

Les autorités soupçonnent une mort par asphyxie après l’échouage de nombreux individus sur les plages.
https://t.co/ezX4ZpWkda","2022-12-05 22:05:34",13,6,3,2,2
"Negative",0.903,0.90348357,0.07710402,0.019412434,68440549,"libe",1599868964263366657,"🚨 Bébés congelés dans le Vaucluse : la mort des nouveau-nés n’est «pas d’origine naturelle» https://t.co/ALudEwN8Pe","2022-12-05 21:50:59",12,5,3,3,1
"Negative",0.948,0.94812995,0.03530782,0.016562289,68440549,"libe",1599866572478242816,"🔎 Déchets toxiques : une poudrière au cœur de Montreuil

L'usine désaffectée de métallurgie où sont toujours stockés des déchets inflammables et toxiques présente une menace élevée pour l’environnement et les populations. Notre enquête 👇
https://t.co/3GWxvBOoUI","2022-12-05 21:41:29",19,10,2,7,0
"Positive",0.91,0.026092049,0.06434993,0.909558,68440549,"libe",1599861576873480212,"🎤 «Aime-moi si tu peux» : @FaryLopesB l’amour pas fou 

Le nouveau spectacle de l’humoriste charismatique entreprend d’explorer les relations hétéros monogames. Un résultat efficace mais convenu.
https://t.co/MQBGLzNErl","2022-12-05 21:21:38",10,1,0,7,2
"Neutral",0.601,0.21731484,0.6010398,0.18164535,68440549,"libe",1599854922710847498,"A la une de @libe ce mardi : 

🔎 Enquête : quand des sans-papiers travaillent pour l’Etat

Lire : https://t.co/nj2k4mQp7h https://t.co/BC6v65o0Zr","2022-12-05 20:55:12",57,20,1,34,2
"Neutral",0.556,0.105988935,0.55591965,0.33809146,68440549,"libe",1599847898614833152,"Au Doha, clubs et pubs à l’abri des regards, symboles des deux visages de la société qatarie par @JulienLecot
https://t.co/DXjNA96nxX","2022-12-05 20:27:17",18,5,2,10,1
"Negative",0.831,0.8305291,0.112110764,0.05736017,68440549,"libe",1599845980433780736,"🗞 L’actu de ce lundi 5 décembre :
▪ Le youtubeur Norman Thavaud en garde à vue
▪ Nicolas Sarkozy «défend son honneur»
▪ Jean-Marc Morandini condamné pour corruption de mineurs
https://t.co/a7eTJLVo6Z","2022-12-05 20:19:40",26,3,1,18,4
"Negative",0.889,0.8885463,0.061800446,0.049653307,68440549,"libe",1599841613961957377,"Commémorant la mémoire des victimes de ce lieu d’internement français de la Seconde Guerre mondiale, dont 2 000 juifs déportés, Emmanuel Macron a appelé «à ouvrir les yeux sur la montée de la xénophobie» et «de l’antisémitisme» ⬇
https://t.co/QIacq7ZjfV","2022-12-05 20:02:19",15,2,3,7,3
"Negative",0.843,0.8431077,0.10469822,0.05219414,68440549,"libe",1599836365734264839,"📚 Javier Marías, un espion de bonne éducation

👉 Dans «Tomás Nevinson», roman policier enveloppant et psychologique, l’écrivain, mort en septembre, explore la lutte antiterroriste. @Gallimard #Livres #Littérature ⤵️ 
  https://t.co/tzZBxz1j50","2022-12-05 19:41:27",13,4,0,9,0
"Negative",0.888,0.8877439,0.084577754,0.027678441,68440549,"libe",1599831255004201164,"▪ Une nouvelle salve de missiles russes s’abat en Ukraine, encore des coupures de courant
▪ Vladimir Poutine en Merco sur le pont de Crimée, partiellement détruit en octobre
▪ Deux bases aériennes attaquées par des drones ukrainiens, selon l’armée russe
https://t.co/rOoobBYw3X","2022-12-05 19:21:09",9,2,4,3,0
"Negative",0.953,0.9525874,0.029741727,0.01767092,68440549,"libe",1599828060076916736,"La préparation des JO donne à voir les mêmes pratiques illégales qu’ailleurs dans le bâtiment : emploi de travailleurs sans-papiers, avec des conditions de sécurité déplorables et aucun droit pour ces travailleurs de l’ombre. Enquête @GurvanKris #Paris2024
https://t.co/VodW8vAhgT","2022-12-05 19:08:27",50,26,4,15,5
"Negative",0.867,0.86680424,0.053876035,0.07931977,68440549,"libe",1599821097700032514,"Une plainte pour «défaillance» à mettre à l’abri les personnes à la rue : #Strasbourg invite tous les élus et associations qui le souhaitent à se joindre à son action en responsabilité contre l’État https://t.co/hOg3moVHX6","2022-12-05 18:40:47",48,14,3,29,2
"Negative",0.619,0.61860234,0.24784908,0.13354851,68440549,"libe",1599816549048672256,"⚖ Affaire des écoutes : jugé en appel, Nicolas Sarkozy assure n’avoir «jamais corrompu» 

👉 Le dossier est souvent surnommé «Bismuth» du nom d’une ligne de téléphone clandestine ouverte au nom de Paul Bismuth.
https://t.co/NN6060GqC2","2022-12-05 18:22:43",41,16,6,15,4
"Positive",0.599,0.1868464,0.21387807,0.5992755,68440549,"libe",1599807434956193804,"⚽ Coupe du monde 2022 : la Fifa rejette le recours de la FFF, la Tunisie remporte bien son match 0-1 contre la France 
#Qatar2022 #FIFAWorldCup #FIFAWorldCup2022
https://t.co/eNOP2K5agB","2022-12-05 17:46:30",20,4,1,14,1
"Positive",0.876,0.018751457,0.10495558,0.87629294,68440549,"libe",1599806238010777607,"L'ancien champion olympique Antoine Dénériaz élabore aujourd'hui des skis haut de gamme, fabriqués à la main avec un soin apporté au choix des matériaux. Il s'inquiète pour l'avenir des stations élevées qui ont tout misé sur le ski.    https://t.co/q47aQL24sp","2022-12-05 17:41:44",13,3,3,6,1
"Neutral",0.685,0.071414955,0.6853489,0.24323617,68440549,"libe",1599803927809200129,"Culture et activisme sont-ils compatibles ? Tel était le thème du débat qui s’est tenu, samedi 3 décembre, au @CentrePompidou dans le cadre du festival Climat : quelle culture pour quel futur ?
https://t.co/zmb2qPl8cR","2022-12-05 17:32:33",9,2,1,6,0
"Positive",0.821,0.032350693,0.14658044,0.8210689,68440549,"libe",1599801434748354565,"Noah Lennox (@pandabear) et Peter Kember (@2020sonicboom) sortent un premier album commun, qu'ils ont voulu joyeux avec des textes réalistes. Disque magique et irréel pour @lelojbatista, qui a rencontré le duo au Portugal : 
   https://t.co/nH8hFXp9MZ","2022-12-05 17:22:39",11,1,1,9,0
"Positive",0.663,0.14838244,0.1889175,0.6627,68440549,"libe",1599798668705636354,"🩺 Face à une pénurie de soignants, il est essentiel que la formation initiale réponde aux besoins futurs. De nombreuses solutions existent pour que ce secteur rêvé par beaucoup de jeunes devienne une réalité. Par @touze_emmanuel #LibéCare
https://t.co/MYlhYmiXRs","2022-12-05 17:11:40",17,7,3,6,1
"Positive",0.552,0.23975131,0.20837392,0.55187476,68440549,"libe",1599796358294142976,"🍷 x 🇧🇪 

Le vin belge renaît de ses cendres ! Marie-Eve Lacasse a déniché quelques cuvées remarquables, comme celles du vigneron Servaas Blockeel ou Into the Wine rouge (Ardent Winery) et son petit goût de hêtre fumé. 

Tous les détails : https://t.co/wr5qfJ7eBJ","2022-12-05 17:02:29",8,3,2,3,0
"Negative",0.677,0.67672634,0.18168047,0.14159329,68440549,"libe",1599790916105117696,"TRIBUNE. Si Emmanuel Macron et Clément Beaune se vantent cyniquement de donner la priorité au #train, la France est en réalité à la traîne par rapport à ses voisins en Europe 

Par Patricia Pérennes, économiste du transport : https://t.co/OMT9d9gjRf","2022-12-05 16:40:51",51,17,6,26,2
"Negative",0.95,0.9499621,0.032370463,0.01766747,68440549,"libe",1599786120824356867,"Sous l’effet du dérèglement climatique, les scolytes montent vers le nord et ravagent les forêts boréales de Finlande https://t.co/aMUNmeSOW5","2022-12-05 16:21:48",12,4,1,7,0
"Negative",0.908,0.9075447,0.06011955,0.032335825,68440549,"libe",1599781081238147072,"🇵🇪 Le Congrès péruvien débattra mercredi de la révocation du président Pedro Castillo pour «incapacité morale». C’est la troisième tentative pour le déloger du pouvoir.   https://t.co/rQ8XMJsEeB","2022-12-05 16:01:46",7,1,0,5,1
"Negative",0.855,0.8551382,0.091979995,0.05288184,68440549,"libe",1599776159113396226,"Des affiches de la fédération de chasse épinglées par la justice pour plagiat de la LPO 

👉 Les affiches portaient l’allégation que les chasseurs sont les «premiers écologistes de France»
https://t.co/thFIe3CReh","2022-12-05 15:42:13",96,33,2,57,4
"Positive",0.475,0.137326,0.3878263,0.47484773,68440549,"libe",1599765805532585986,"1930 : 63.000 km de réseau ferré
2022 : 28.000 km 

Des RER dans 10 grandes villes : l'idée remet en lumière les «trains du quotidien», abandonnés au profit du TGV. Et si on créait ces nouvelles lignes à partir de l’existant ? Lire : https://t.co/QC1cWAB0IW https://t.co/1jQSN7OVrP","2022-12-05 15:01:04",186,52,5,124,5
"Positive",0.577,0.025446441,0.39722335,0.57733023,68440549,"libe",1599760941905809408,"Neymar sera de retour pour le match de ce soir «s’il va bien» : c'est dans le récap #Qatar2022 de ce lundi 👇 
  https://t.co/Dk1LVgQyiT","2022-12-05 14:41:45",10,3,1,6,0
"Positive",0.493,0.34450328,0.16205575,0.49344096,68440549,"libe",1599760934536454148,"Le projet de loi d’accélération des «ENR» veut simplifier les procédures pour le solaire et l'éolien. D'où la déclaration «d’intérêt public majeur», pourtant rejetée en commission par les écologistes, regrettent @alaingrandjean et @JouzelJean. Tribune : https://t.co/otpDHUWVhU","2022-12-05 14:41:43",23,9,4,9,1
"Negative",0.805,0.805181,0.147372,0.047446944,68440549,"libe",1599758675224166401,"🔴 INFO LIBÉ. Le YouTubeur Norman Thavaud actuellement en garde à vue pour viols et corruption de mineurs
   https://t.co/CVeoOmPETo","2022-12-05 14:32:44",41693,8626,970,27707,4390
"Positive",0.673,0.09762961,0.22955711,0.6728133,68440549,"libe",1599756058792271873,"200.000 affiches, une pétition en ligne pour «que tous les Français s’en mêlent» : Fabien Roussel lance une campagne pour un référendum sur la réforme des retraites https://t.co/75qM4YvASH","2022-12-05 14:22:21",41,13,4,22,2
"Negative",0.912,0.91158354,0.05812351,0.030292993,68440549,"libe",1599755099714322432,"🔴 L’animateur Jean-Marc Morandini condamné à un an de prison avec sursis pour corruption de mineurs https://t.co/Eprw8pknRc","2022-12-05 14:18:32",287,87,49,126,25
"Negative",0.588,0.58834577,0.24370824,0.16794601,68440549,"libe",1599750943620440065,"Macron avait prédit dans la presse le résultat de #FRAPOL. Complot, miracle, cartomancie ? En vérité, nous sommes tous des Paul le poulpe en puissance, ce qui inclut @qdescamps, auteur du même pronostic dans le groupe MonPetitProno de @Libe : https://t.co/Z7Rfbo56EA","2022-12-05 14:02:01",21,7,5,9,0
"Positive",0.802,0.03136442,0.16688144,0.8017541,68440549,"libe",1599745812929585152,"700.000 personnes se sont équipées de l'app EcoWatt depuis la semaine dernière. L'onglet consacré aux écogestes mériterait d'être revu, avec des conseils plus poussés pour économiser l'énergie. #Electricité https://t.co/eXIhlinuCy","2022-12-05 13:41:38",30,9,16,5,0
"Negative",0.929,0.9293844,0.04000758,0.030607937,68440549,"libe",1599740870722572292,"En #Turquie, le travail des reporters devient de plus en plus difficile sous la pression accrue du pouvoir. «C’est une stratégie consciente du gouvernement, elle fait perdre du temps et de l’énergie aux journalistes», analyse @ekizilkaya
 https://t.co/ibGXNsEnh0","2022-12-05 13:21:59",25,8,1,16,0
"Negative",0.784,0.7842682,0.13949178,0.07623993,68440549,"libe",1599734867507511297,"🔴 INFO LIBÉ 
Enquête sur des soupçons d'emploi fictif : perquisition chez la députée RN Edwige Diaz, l'ex-eurodéputé Jacques Colombier en garde à vue 
https://t.co/4swYIWw24a","2022-12-05 12:58:08",109,55,6,43,5
"Negative",0.4,0.3996617,0.2135302,0.38680804,68440549,"libe",1599733401627525120,"Les témoignages qui nous proviennent de Téhéran dressent le portrait d’une ville profondément transformée. Les femmes lâchent leurs cheveux et les habitants se retrouvent dans les cafés pour organiser grèves et actes de résistance. #Iran  https://t.co/LqpIRIyns9","2022-12-05 12:52:19",98,26,9,63,0
"Negative",0.417,0.41685465,0.23569623,0.3474491,68440549,"libe",1599730706439196678,"⚡ Sur les coupures de courant, Matignon a voulu jouer la transparence sur la préparation de l’Etat. Mais l'opération attire l’attention sur des questions anxiogènes : écoles, numéros d'urgence, transports... Que des bombes politiques en puissance.  https://t.co/yEplk7m4XB","2022-12-05 12:41:36",47,14,9,19,5
"Negative",0.88,0.8795985,0.08421715,0.036184333,68440549,"libe",1599725619838951425,"☎️ Le 112 joignable en cas de coupure de courant : les centres d'appel risquent la saturation, dit Caroline Brémaud, médecin du Samu. «Ils n’ont pas de spécialité médicale, donc le tri entre urgences et non-urgences serait beaucoup plus laborieux» https://t.co/M3HzpHKrxR","2022-12-05 12:21:23",36,15,3,16,2
"Negative",0.669,0.6691514,0.16999875,0.16084984,68440549,"libe",1599720546039726080,"Courtisé par Ciotti et Retailleau, Aurélien Pradié n'a pas donné de consigne de vote hier. Un de ses lieutenants : «Il n’y a rien à négocier. On a porté nos idées et on continuera, surtout si ça emmerde le prochain président» @Chez_Pol https://t.co/0mGHJ6Ezv9","2022-12-05 12:01:14",9,7,0,1,1
"Neutral",0.659,0.10926257,0.6591714,0.23156606,68440549,"libe",1597878217662242816,"⚽ Coupe du monde : Wahbi Khazri, «Tunisien à 100%, français à 100% et corse à 100%» #Qatar2022 #FIFAWorldCupQatar2022 #FIFAWorldCup
https://t.co/JNBCiDhl59","2022-11-30 10:00:28",17,1,5,7,4
"Negative",0.863,0.86296177,0.089579575,0.047458593,68440549,"libe",1599715694614036481,"📉 Selon le dernier baromètre de la CGT Ingés Cadres Tech, moins de la moitié des personnels administratifs des entreprises ont été augmentés ou ont touché une prime ces derniers mois. Les femmes sont particulièrement désavantagées.  https://t.co/kdCoKN1R0V","2022-12-05 11:41:57",52,19,5,27,1
"Negative",0.905,0.9054042,0.056556996,0.03803874,68440549,"libe",1599712677793828864,"🔴 Des chattes votent à la présidence de LR : le parti veut porter plainte contre le JDD https://t.co/81ivehpl7N","2022-12-05 11:29:58",53,10,14,27,2
"Positive",0.726,0.12717614,0.1464456,0.7263782,68440549,"libe",1599712126737780736,"🎶 @HONEYDIJON a pris tout son temps pour réaliser un second album éblouissant. Parfois teinté de R’n’B, de gospel, d’acid ou de disco, «Black Magic Girl» nous embarque dans un tour d’horizon des possibilités de la #house ➡️ https://t.co/NfBvy2ZF5j https://t.co/c9Qi3zm2hS","2022-12-05 11:27:46",12,2,3,7,0
"Positive",0.73,0.10072949,0.1695567,0.7297138,68440549,"libe",1599705399908761601,"Projet de loi pour accélérer sur l'éolien et le solaire : la majorité, habituée à courtiser la droite, compte cette fois sur la gauche. Les députés Nupes goûtent la situation avec ironie : «C’est la première fois qu’ils nous calculent !» 
 https://t.co/gXog9TTVLw","2022-12-05 11:01:03",8,4,1,2,1
"Negative",0.38,0.38039705,0.3380149,0.28158808,68440549,"libe",1599700667932762114,"Zéro Covid : en Chine, les autorités locales assouplissent petit à petit les règles sanitaires https://t.co/sow7UosEjA","2022-12-05 10:42:14",10,5,1,3,1
"Negative",0.569,0.56867075,0.29599965,0.13532965,68440549,"libe",1599695604942356481,"Mbappé vient d'expliquer pourquoi il ne parle pas aux médias depuis le début du Mondial : «Il n’y a rien de personnel, ni contre les journalistes, ni pour les fans et ceux qui nous suivent» #Qatar2022 https://t.co/YmWmOTGoh2","2022-12-05 10:22:07",30,6,8,12,4
"Negative",0.668,0.66841877,0.13550091,0.19608033,68440549,"libe",1599690569680289798,"Emmanuel Macron a beau appeler à ne pas paniquer, le risque d’effondrement du réseau électrique cet hiver est réel. On en vient au docteur Emile Coué et à sa fameuse méthode... L'édito de @dovalfon :  https://t.co/UgJdbGLJec","2022-12-05 10:02:07",27,10,6,10,1
"Positive",0.867,0.027005512,0.10600525,0.8669892,68440549,"libe",1599685490948579328,"1600 critiques et spécialistes du cinéma ont voté : «Jeanne Dielman» de Chantal Akerman (1975) est le meilleur film de l'histoire  https://t.co/2SaT407oxW","2022-12-05 09:41:56",160,32,25,88,15
"Negative",0.642,0.64184535,0.19159299,0.16656162,68440549,"libe",1599680149343068161,"⚡ Ca va être tout noir ? 

Outre l’option des coupures d'électricité, RTE étudie plusieurs scénarios pour réalimenter rapidement le pays en cas de black-out : https://t.co/vU47RWZREl","2022-12-05 09:20:42",44,9,14,16,5
"Negative",0.897,0.8974621,0.064575195,0.037962742,68440549,"libe",1599675352678293505,"La famille de Pelé, hospitalisé pour une infection pulmonaire : «Nous sommes fatiguées de recevoir des condoléances»   https://t.co/bF918xe3VM","2022-12-05 09:01:39",18,4,0,14,0
"Negative",0.648,0.64835596,0.20277387,0.14887019,68440549,"libe",1599671479540531202,"En 2022, la presse ne nous épargne pas les commentaires sur les robes de Brigitte Macron ou Jill Biden à la Maison Blanche. Et si le vrai progrès consistait à en finir avec ce concept de première dame ? Par @sabbchamp   https://t.co/1pSI0mJ37m","2022-12-05 08:46:15",138,21,40,75,2
"Negative",0.794,0.79392487,0.13218264,0.07389252,68440549,"libe",1599670227285024769,"⚡ S’il nous manque de l’électricité cet hiver, la faute à qui ? Un peu tout le monde sur l’échiquier politique, contrairement à ce qu’affirment les critiques venues de droite comme de gauche. Le billet de Thomas Legrand @lofejoma : https://t.co/sqjZBxrc9R","2022-12-05 08:41:17",45,17,5,21,2
