"sentiment","score","negative","neutral","positive","id_user","name_user","id_tweet","text_tweet","date_tweet","nb_interactions","retweet_count","reply_count","like_count","quote_count"
"Neutral",0.609,0.336598,0.6091743,0.05422768,2729039440,"nico_dufrene",1538630883850309632,"Jupi...à terre ?","2022-06-19 23:12:43",66,6,5,54,1
"Negative",0.965,0.9648179,0.023906391,0.0112757655,2729039440,"nico_dufrene",1538589547218493441,"Crise institutionnelle en vue. Situation inédite sous la 5ème république. Gouvernement faible dans tous les cas.","2022-06-19 20:28:28",45,7,1,37,0
"Negative",0.834,0.8335756,0.068433456,0.09799085,2729039440,"nico_dufrene",1595716287283752960,"Quand des influenceurs stars faisaient une promotion honteuse de FTX, faisant croire que les cryptos étaient ""pour le petit peuple"" alors que la grande majorité des personnes, bercées d'illusion, y ont laissé des plumes. Excellent rappel de @USBEKetRICA !

https://t.co/D28VSNQqZ8","2022-11-24 10:49:44",24,2,11,10,1
"Positive",0.478,0.3431609,0.17891003,0.477929,2729039440,"nico_dufrene",1593302598022578177,"""On a l’impression que le monde des crypto est à l’étape zéro de la régulation."" Merci à @Challenges pour cet article. 

https://t.co/VzPpVSVMWU","2022-11-17 18:58:36",7,1,3,3,0
"Negative",0.84,0.84010834,0.08963839,0.070253246,2729039440,"nico_dufrene",1592279094552846336,"Quand la BRI dit elle-même ce que je dis depuis des années sur les cryptos et l'arnaque de la ""spéculation pour les pauvres"". Mais bon sur les plateaux de @BfmCrypto on va continuer à inviter les lobbyistes et les vendeurs d'illusion ! 

https://t.co/nOK0DrIkYg","2022-11-14 23:11:33",21,2,6,12,1
"Negative",0.894,0.8940251,0.052655555,0.053319424,2729039440,"nico_dufrene",1591772580780085253,"Face à la débâcle de FTX, très représentative d'une énième arnaque crypto (comme bien d'autres avant et comme bien d'autres qui suivront), je republie la tribune internationale que nous avions initiée avec l'@InstitRousseau et qui n'a pas pris une ride :
https://t.co/es5XY9UXxB","2022-11-13 13:38:51",19,3,2,14,0
"Negative",0.93,0.93033713,0.044541705,0.025121126,2729039440,"nico_dufrene",1590098829210447872,"Le bitcoin est en train de devenir un vrai ""shitcoin"". Il ne résiste à aucune tempête, chute quand l'inflation progresse, ne peut pas résoudre son problème énergétique, ni gérer des transactions en masse...Avant 2030 la valeur de bitcoin sera tombée à zéro.","2022-11-08 22:47:58",102,8,46,43,5
"Positive",0.895,0.00925663,0.09577675,0.8949666,2729039440,"nico_dufrene",1590057246276603905,"Avec @GaelGiraud_CNRS nous publions aujourd'hui une tribune dans @LesEchos  sur le nécessaire financement d'ampleur de la rénovation énergétique des bâtiments. Nous avons ainsi le plaisir de porter la voix de la campagne @UnlockFrance en ce sens !

https://t.co/pk4CSEdszh","2022-11-08 20:02:44",13,2,0,11,0
"Negative",0.537,0.5373758,0.29578066,0.16684356,2729039440,"nico_dufrene",1588462589725773825,"""Une république n’a pas de maires noirs, de sénateurs jaunes, de ministres juifs, ou de proviseurs athées. C’est une démocratie qui a des gouverneurs noirs, des maires blancs et des sénateurs mormons. Conci­toyen n’est pas coreligionnaire.""
Régis Debray ""Républicain ou démocrate""","2022-11-04 10:26:08",17,2,3,12,0
"Negative",0.824,0.82350206,0.098976105,0.07752182,2729039440,"nico_dufrene",1588207565405569026,"''Retourne en Afrique''. Pour rappel la candidate de la majorité aux législatives avait appelé à voter blanc dans le duel qui opposait ce député RN face à un candidat Lfi. Simple fait.","2022-11-03 17:32:45",1824,407,62,1343,12
